bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Ice House America, L.L.C. | Revolver","Ice House America, L.L.C. | Revolver","Ice House America, L.L.C. | Revolver",,,,,364000.0,373000.0,378000.0,,96.3,6.0,9.7,,,False,,,USD,364000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Safety Products Holdings, LLC | First Lien Senior Secured Term Loan",Safety Products Holdings,Safety Products Holdings,First Lien,,,,8709000.0,8698000.0,8709000.0,,100.0,4.5,8.2,,,False,,,USD,8709000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"BLI Buyer, Inc. | First Lien Senior Secured Term Loan",BLI Buyer,BLI Buyer,First Lien,,,,2548000.0,2544000.0,2574000.0,,98.99,5.0,8.7,,,False,,,USD,2548000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"BLI Buyer, Inc. | Revolver","BLI Buyer, Inc. | Revolver","BLI Buyer, Inc. | Revolver",,,,,138000.0,137000.0,143000.0,,96.5,5.0,8.7,,,False,,,USD,138000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Diversified Packaging Holdings LLC | Second Lien Senior Secured Term Loan,Diversified Packaging Holdings LLC |,Diversified Packaging Holdings LLC |,Second Lien,,,,1031000.0,1034000.0,1048000.0,,98.38,,11.0,,,False,,,USD,1031000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,Five Star Holding LLC | Second Lien Senior Secured Term Loan,Five Star Holding LLC |,Five Star Holding LLC |,Second Lien,,,,13692000.0,13537000.0,13692000.0,,100.0,7.25,10.9,,,False,,,USD,13692000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Media Recovery, Inc. (SpotSee) | First Lien Senior Secured Term Loan 1",Media Recovery,Media Recovery,First Lien,,,,1703000.0,1684000.0,1703000.0,,100.0,4.5,8.2,,,False,,,USD,1703000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Media Recovery, Inc. (SpotSee) | First Lien Senior Secured Term Loan 2",Media Recovery,Media Recovery,First Lien,,,,3533000.0,3531000.0,3533000.0,,100.0,4.5,8.2,,,False,,,USD,3533000.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Media Recovery, Inc. (SpotSee) | Revolver 1","Media Recovery, Inc. (SpotSee) | Revolver 1","Media Recovery, Inc. (SpotSee) | Revolver 1",,,,,0.0,-7000.0,0.0,,-0.0,4.5,8.2,,,False,,,USD,0.0
BBDC,0001379785,0001379785-26-000030,10-Q,2026-06-30,2026-08-05,"Media Recovery, Inc. (SpotSee) | Revolver 2","Media Recovery, Inc. (SpotSee) | Revolver 2","Media Recovery, Inc. (SpotSee) | Revolver 2",,,,,0.0,-9000.0,0.0,,-0.0,4.5,8.2,,,False,,,USD,0.0
