bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | SitusAMC Holdings Corporation | Diversified Financial Services,SitusAMC Holdings Corporation,SitusAMC Holdings Corporation,First Lien,Diversified Financial Services,,,27192000.0,27432000.0,27554000.0,,99.13,5.5,9.2,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Smarsh Inc. | Software,Smarsh Inc.,Smarsh Inc.,First Lien,Software,,,8921000.0,8916000.0,9014000.0,,100.06,4.75,8.45,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Specialty Pharma III, Inc. | Healthcare & Pharmaceuticals","Specialty Pharma III, Inc.","Specialty Pharma III, Inc.",First Lien,Healthcare & Pharmaceuticals,,,15683000.0,15665000.0,15750000.0,,100.11,4.75,8.43,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Speedstar Holding LLC | Auto Aftermarket & Services,Speedstar Holding LLC,Speedstar Holding LLC,First Lien,Auto Aftermarket & Services,,,16973000.0,17827000.0,17943000.0,,95.21,6.0,9.65,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Spotless Brands, LLC | Consumer Services 1","Spotless Brands, LLC","Spotless Brands, LLC",First Lien,Consumer Services 1,,,9017000.0,8944000.0,9000000.0,,100.82,5.5,9.17,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Spotless Brands, LLC | Consumer Services 2","Spotless Brands, LLC","Spotless Brands, LLC",First Lien,Consumer Services 2,,,46757000.0,46252000.0,46516000.0,,101.09,5.75,9.45,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Summit Bidco, Inc. (Canada) | Diversified Financial Services","Summit Bidco, Inc. (Canada)","Summit Bidco, Inc. (Canada)",First Lien,Diversified Financial Services,,,394000.0,392000.0,556000.0,,100.51,4.75,7.01,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Tank Holding Corp. | Capital Equipment 1,Tank Holding Corp.,Tank Holding Corp.,First Lien,Capital Equipment 1,,,21764000.0,24514000.0,24677000.0,,88.78,5.75,9.42,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Tank Holding Corp. | Capital Equipment 2,Tank Holding Corp.,Tank Holding Corp.,First Lien,Capital Equipment 2,,,3132000.0,3491000.0,3512000.0,,89.72,6.0,9.67,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | TCFI Aevex LLC | Aerospace & Defense,TCFI Aevex LLC,TCFI Aevex LLC,First Lien,Aerospace & Defense,,,12307000.0,12307000.0,12307000.0,,100.0,6.0,9.67,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | The Chartis Group, LLC | Healthcare & Pharmaceuticals","The Chartis Group, LLC","The Chartis Group, LLC",First Lien,Healthcare & Pharmaceuticals,,,864000.0,744000.0,793000.0,,116.13,4.25,7.95,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Total Power Limited (Canada) | Energy: Electricity,Total Power Limited (Canada),Total Power Limited (Canada),First Lien,Energy: Electricity,,,9603000.0,9593000.0,13570000.0,,100.1,4.5,6.89,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Trintech, Inc. | Software","Trintech, Inc.","Trintech, Inc.",First Lien,Software,,,6859000.0,6928000.0,7049000.0,,99.0,4.75,8.42,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Tufin Software North America, Inc. | Software","Tufin Software North America, Inc.","Tufin Software North America, Inc.",First Lien,Software,,,38327000.0,38154000.0,38458000.0,,100.45,4.93,8.6,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | U.S. Legal Support, Inc. | Business Services","U.S. Legal Support, Inc.","U.S. Legal Support, Inc.",First Lien,Business Services,,,22904000.0,22993000.0,22998000.0,,99.61,5.5,9.17,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | UFT Buyer LLC | Environmental Industries,UFT Buyer LLC,UFT Buyer LLC,First Lien,Environmental Industries,,,1002000.0,1001000.0,1015000.0,,100.1,2.25,8.7,,2.75,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | US INFRA SVCS Buyer, LLC | Environmental Industries","US INFRA SVCS Buyer, LLC","US INFRA SVCS Buyer, LLC",First Lien,Environmental Industries,,,8163000.0,10734000.0,10878000.0,,76.05,1.0,10.42,,5.75,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | USR Parent Inc. | Retail,USR Parent Inc.,USR Parent Inc.,First Lien,Retail,,,4097000.0,4121000.0,4137000.0,,99.42,7.6,11.27,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Vensure Employer Services, Inc. | Business Services","Vensure Employer Services, Inc.","Vensure Employer Services, Inc.",First Lien,Business Services,,,32792000.0,33100000.0,33326000.0,,99.07,5.0,8.69,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Victors Purchaser, LLC | High Tech Industries","Victors Purchaser, LLC","Victors Purchaser, LLC",First Lien,High Tech Industries,,,-6000.0,-18000.0,0.0,,33.33,4.5,8.2,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Vienna Bidco Limited (United Kingdom) | Healthcare & Pharmaceuticals,Vienna Bidco Limited (United Kingdom),Vienna Bidco Limited (United Kingdom),First Lien,Healthcare & Pharmaceuticals,,,9374000.0,9523000.0,7264000.0,,98.44,5.65,9.38,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | VRC Companies, LLC | Business Services","VRC Companies, LLC","VRC Companies, LLC",First Lien,Business Services,,,-4000.0,-2000.0,0.0,,200.0,5.25,8.92,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Whitney Merger Sub, Inc. | Leisure Products & Services","Whitney Merger Sub, Inc.","Whitney Merger Sub, Inc.",First Lien,Leisure Products & Services,,,23641000.0,23938000.0,24205000.0,,98.76,4.75,8.45,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,Investment | Non-Affiliated Issuer | First Lien Debt | Wineshipping.com LLC | Beverage & Food,Wineshipping.com LLC,Wineshipping.com LLC,First Lien,Beverage & Food,,,11748000.0,17050000.0,18136000.0,,68.9,6.25,9.95,,100.0,True,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | World 50, Inc. | Business Services","World 50, Inc.","World 50, Inc.",First Lien,Business Services,,,18719000.0,18474000.0,18757000.0,,101.33,4.5,8.17,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | Yellowstone Buyer Acquisition, LLC | Consumer Goods: Durable","Yellowstone Buyer Acquisition, LLC","Yellowstone Buyer Acquisition, LLC",First Lien,Consumer Goods: Durable,,,399000.0,429000.0,432000.0,,93.01,5.75,9.42,,,False,,,USD,
CGBD,0001544206,0001544206-26-000033,10-Q,2026-03-31,2026-05-11,"Investment | Non-Affiliated Issuer | First Lien Debt | YLG Holdings, Inc. | Consumer Services","YLG Holdings, Inc.","YLG Holdings, Inc.",First Lien,Consumer Services,,,6458000.0,6441000.0,6458000.0,,100.26,4.75,8.41,,,False,,,USD,
