bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Guidepoint Security Holdings, LLC, First lien senior secured loan 1","Guidepoint Security Holdings, LLC","Guidepoint Security Holdings, LLC",First Lien,,,,2400000.0,2400000.0,2400000.0,,100.0,5.25,8.92,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Guidepoint Security Holdings, LLC, First lien senior secured loan 2","Guidepoint Security Holdings, LLC","Guidepoint Security Holdings, LLC",First Lien,,,,7900000.0,7900000.0,7900000.0,,100.0,5.25,8.92,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Heavy Construction Systems Specialists, LLC, First lien senior secured loan","Heavy Construction Systems Specialists, LLC","Heavy Construction Systems Specialists, LLC",First Lien,,,,100000.0,100000.0,100000.0,,100.0,4.75,8.45,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Heavy Construction Systems Specialists, LLC, First lien senior secured loan 1","Heavy Construction Systems Specialists, LLC","Heavy Construction Systems Specialists, LLC",First Lien,,,,13700000.0,13700000.0,13700000.0,,100.0,4.75,8.45,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"HS Purchaser, LLC, and Help/Systems Holdings, Inc., First lien senior secured loan","HS Purchaser, LLC, and Help/Systems Holdings, Inc.","HS Purchaser, LLC, and Help/Systems Holdings, Inc.",First Lien,,,,59600000.0,63000000.0,63000000.0,,94.6,6.5,10.16,,3.25,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP, First lien senior secured loan","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP",First Lien,,,,57300000.0,58500000.0,58500000.0,,97.95,6.0,9.77,,0.5,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP, First lien senior secured loan 1","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP",First Lien,,,,5300000.0,5400000.0,5400000.0,,98.15,6.0,9.77,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP, Senior subordinated loan","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP",Senior Subordinated,,,,123500000.0,137200000.0,137200000.0,,90.01,,,,10.0,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP, Company units","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP",Company Units,,,,3100000.0,8800000.0,,4246457.0,35.23,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Hyland Software, Inc., First lien senior secured loan","Hyland Software, Inc.","Hyland Software, Inc.",First Lien,,,,108900000.0,108000000.0,108900000.0,,100.0,5.0,8.7,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Hyphen Solutions, LLC, First lien senior secured loan","Hyphen Solutions, LLC","Hyphen Solutions, LLC",First Lien,,,,11800000.0,11900000.0,12000000.0,,98.33,4.5,8.17,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"iCapital, Inc., Company stock","iCapital, Inc.","iCapital, Inc.",Equity,,,,1100000.0,1000000.0,,71430.0,110.0,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Icefall Parent, Inc., First lien senior secured loan","Icefall Parent, Inc.","Icefall Parent, Inc.",First Lien,,,,4000000.0,4000000.0,4000000.0,,100.0,4.5,8.2,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"ID.me, LLC and ID.me, Inc., First lien senior secured loan","ID.me, LLC and ID.me, Inc.","ID.me, LLC and ID.me, Inc.",First Lien,,,,123700000.0,122700000.0,130400000.0,,94.86,,10.25,,5.25,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"ID.me, LLC and ID.me, Inc., Series E preferred units","ID.me, LLC and ID.me, Inc.","ID.me, LLC and ID.me, Inc.",Preferred Equity,,,,17100000.0,16000000.0,,10827926.0,106.88,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"ID.me, LLC and ID.me, Inc., Warrant to purchase shares of common stock","ID.me, LLC and ID.me, Inc.","ID.me, LLC and ID.me, Inc.",Warrant,,,,10900000.0,9600000.0,,6924708.0,113.54,,,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Internet Truckstop Group LLC, First lien senior secured loan",Internet Truckstop Group LLC,Internet Truckstop Group LLC,First Lien,,,,39500000.0,39300000.0,39500000.0,,100.0,5.25,9.1,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"IQN Holding Corp., First lien senior secured revolving loan",IQN Holding Corp.,IQN Holding Corp.,First Lien,,,,1300000.0,1300000.0,1300000.0,,100.0,5.25,8.95,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"IQN Holding Corp., First lien senior secured loan",IQN Holding Corp.,IQN Holding Corp.,First Lien,,,,1400000.0,1400000.0,1400000.0,,100.0,5.75,9.45,,3.13,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"JAMS Holdings LP and Jams Buyer LLC, First lien senior secured revolving loan",JAMS Holdings LP and Jams Buyer LLC,JAMS Holdings LP and Jams Buyer LLC,First Lien,,,,14300000.0,14300000.0,14300000.0,,100.0,5.0,8.7,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"JAMS Holdings LP and Jams Buyer LLC, Preferred units",JAMS Holdings LP and Jams Buyer LLC,JAMS Holdings LP and Jams Buyer LLC,Preferred Equity,,,,1300000.0,1100000.0,,1001000.0,118.18,,,,8.0,True,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Jeppesen Holdings, LLC, First lien senior secured loan","Jeppesen Holdings, LLC","Jeppesen Holdings, LLC",First Lien,,,,13900000.0,14000000.0,14000000.0,,99.29,4.75,8.42,,,False,,,USD,
ARCC,0001287750,0001628280-26-027688,10-Q,2026-03-31,2026-04-28,"Kairos Bidco Limited, First lien senior secured revolving loan",Kairos Bidco Limited,Kairos Bidco Limited,First Lien,,,,300000.0,300000.0,300000.0,,100.0,4.75,8.45,,,False,,,USD,
