bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Endries Acquisition, Inc. | First lien senior secured loan | Non-Affiliated","Endries Acquisition, Inc.","Endries Acquisition, Inc.",First Lien,,,,116785000.0,117792000.0,118563000.0,,98.5,5.5,,,,False,,,USD,116785000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Offen, Inc. | First lien senior secured loan | Non-Affiliated","Offen, Inc.","Offen, Inc.",First Lien,,,,14495000.0,14556000.0,14679000.0,,98.75,5.0,,,,False,,,USD,14495000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Severin Acquisition, LLC (dba PowerSchool) | First lien senior secured loan | Non-Affiliated","Severin Acquisition, LLC (dba PowerSchool)","Severin Acquisition, LLC (dba PowerSchool)",First Lien,,,,1538000.0,1590000.0,1615000.0,,95.23,2.75,,,2.25,True,,,USD,1538000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Severin Acquisition, LLC (dba PowerSchool) | First lien senior secured revolving loan | Non-Affiliated","Severin Acquisition, LLC (dba PowerSchool)","Severin Acquisition, LLC (dba PowerSchool)",First Lien,,,,86000.0,93000.0,94000.0,,91.49,4.75,,,,False,,,USD,86000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Dresser Utility Solutions, LLC | First lien senior secured loan | Non-Affiliated","Dresser Utility Solutions, LLC","Dresser Utility Solutions, LLC",First Lien,,,,74054000.0,73453000.0,74054000.0,,100.0,5.25,,,,False,,,USD,74054000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Baker Tilly Advisory Group, LP | First lien senior secured loan | Non-Affiliated","Baker Tilly Advisory Group, LP","Baker Tilly Advisory Group, LP",First Lien,,,,81172000.0,80094000.0,81172000.0,,100.0,4.75,,,,False,,,USD,81172000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"CCM Midco, LLC (f/k/a Cresset Capital Management, LLC) | First lien senior secured loan | Non-Affiliated","CCM Midco, LLC (f/k/a Cresset Capital Management, LLC)","CCM Midco, LLC (f/k/a Cresset Capital Management, LLC)",First Lien,,,,39459000.0,38965000.0,39459000.0,,100.0,4.5,,,,False,,,USD,39459000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Continental Finance Company, LLC | First lien senior secured loan | Non-Affiliated","Continental Finance Company, LLC","Continental Finance Company, LLC",First Lien,,,,7444000.0,7446000.0,7500000.0,,99.25,8.0,,,,False,,,USD,7444000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Deerfield Dakota Holdings | First lien senior secured loan | Non-Affiliated,Deerfield Dakota Holdings,Deerfield Dakota Holdings,First Lien,,,,116208000.0,116273000.0,116792000.0,,99.5,3.0,,,2.75,True,,,USD,116208000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Deerfield Dakota Holdings | First lien senior secured revolving loan | Non-Affiliated,Deerfield Dakota Holdings,Deerfield Dakota Holdings,First Lien,,,,3894000.0,3900000.0,3947000.0,,98.66,5.25,,,,False,,,USD,3894000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Klarna Holding AB | Subordinated Floating Rate Notes | Non-Affiliated,Klarna Holding AB,Klarna Holding AB,Subordinated,,,,1000000.0,1000000.0,1000000.0,,100.0,7.0,,,,False,,,USD,1000000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,KRIV Acquisition Inc. (dba Riveron) | First lien senior secured loan | Non-Affiliated,KRIV Acquisition Inc. (dba Riveron),KRIV Acquisition Inc. (dba Riveron),First Lien,,,,8108000.0,7956000.0,8108000.0,,100.0,4.75,,,,False,,,USD,8108000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Minotaur Acquisition, Inc. (dba Inspira Financial) | First lien senior secured loan | Non-Affiliated","Minotaur Acquisition, Inc. (dba Inspira Financial)","Minotaur Acquisition, Inc. (dba Inspira Financial)",First Lien,,,,219247000.0,217397000.0,219796000.0,,99.75,5.0,,,,False,,,USD,219247000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"NMI Acquisitionco, Inc. (dba Network Merchants) | First lien senior secured loan | Non-Affiliated","NMI Acquisitionco, Inc. (dba Network Merchants)","NMI Acquisitionco, Inc. (dba Network Merchants)",First Lien,,,,45934000.0,46274000.0,46402000.0,,98.99,4.5,,,,False,,,USD,45934000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Smarsh Inc. | First lien senior secured loan | Non-Affiliated,Smarsh Inc.,Smarsh Inc.,First Lien,,,,1939000.0,2014000.0,2031000.0,,95.47,4.75,,,,False,,,USD,1939000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Smarsh Inc. | First lien senior secured revolving loan | Non-Affiliated,Smarsh Inc.,Smarsh Inc.,First Lien,,,,105000.0,113000.0,114000.0,,92.11,4.75,,,,False,,,USD,105000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Wipfli Advisory LLC | First lien senior secured loan | Non-Affiliated,Wipfli Advisory LLC,Wipfli Advisory LLC,First Lien,,,,26105000.0,26270000.0,26341000.0,,99.1,4.25,,,,False,,,USD,26105000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Balrog Acquisition, Inc. (dba Bakemark) | Second lien senior secured loan | Non-Affiliated","Balrog Acquisition, Inc. (dba Bakemark)","Balrog Acquisition, Inc. (dba Bakemark)",Second Lien,,,,18760000.0,27822000.0,28000000.0,,67.0,7.0,,,,False,,,USD,18760000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Blast Bidco Inc. (dba Bazooka Candy Brands) | First lien senior secured loan | Non-Affiliated,Blast Bidco Inc. (dba Bazooka Candy Brands),Blast Bidco Inc. (dba Bazooka Candy Brands),First Lien,,,,37017000.0,36572000.0,37203000.0,,99.5,6.0,,,,False,,,USD,37017000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"BP Veraison Buyer, LLC (dba Sun World) | First lien senior secured loan | Non-Affiliated","BP Veraison Buyer, LLC (dba Sun World)","BP Veraison Buyer, LLC (dba Sun World)",First Lien,,,,136645000.0,135571000.0,136645000.0,,100.0,5.25,,,,False,,,USD,136645000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Eagle Family Foods Group LLC | First lien senior secured loan | Non-Affiliated,Eagle Family Foods Group LLC,Eagle Family Foods Group LLC,First Lien,,,,1699000.0,1688000.0,1703000.0,,99.77,4.75,,,,False,,,USD,1699000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Fiesta Purchaser, Inc. (dba Shearer's Foods) | First lien senior secured revolving loan | Non-Affiliated","Fiesta Purchaser, Inc. (dba Shearer's Foods)","Fiesta Purchaser, Inc. (dba Shearer's Foods)",First Lien,,,,1708000.0,1831000.0,1831000.0,,93.28,2.75,,,,False,,,USD,1708000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Gehl Foods, LLC | First lien senior secured loan | Non-Affiliated","Gehl Foods, LLC","Gehl Foods, LLC",First Lien,,,,97846000.0,96825000.0,97846000.0,,100.0,6.25,,,,False,,,USD,97846000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Hissho Parent, LLC | First lien senior secured loan | Non-Affiliated","Hissho Parent, LLC","Hissho Parent, LLC",First Lien,,,,16422000.0,16318000.0,16422000.0,,100.0,4.75,,,,False,,,USD,16422000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Innovation Ventures HoldCo, LLC (dba 5 Hour Energy) | First lien senior secured loan | Non-Affiliated","Innovation Ventures HoldCo, LLC (dba 5 Hour Energy)","Innovation Ventures HoldCo, LLC (dba 5 Hour Energy)",First Lien,,,,27682000.0,27375000.0,27682000.0,,100.0,6.25,,,,False,,,USD,27682000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"KBP Brands, LLC | First lien senior secured loan | Non-Affiliated","KBP Brands, LLC","KBP Brands, LLC",First Lien,,,,1034000.0,1035000.0,1050000.0,,98.48,5.25,,,,False,,,USD,1034000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Ole Smoky Distillery, LLC | First lien senior secured loan | Non-Affiliated","Ole Smoky Distillery, LLC","Ole Smoky Distillery, LLC",First Lien,,,,776000.0,840000.0,846000.0,,91.73,5.5,,,,False,,,USD,776000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Rushmore Investment III LLC (dba Winland Foods) | First lien senior secured loan | Non-Affiliated,Rushmore Investment III LLC (dba Winland Foods),Rushmore Investment III LLC (dba Winland Foods),First Lien,,,,329682000.0,327419000.0,330508000.0,,99.75,5.25,,,,False,,,USD,329682000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Sara Lee Frozen Bakery, LLC (fka KSLB Holdings, LLC) | First lien senior secured loan | Non-Affiliated","Sara Lee Frozen Bakery, LLC (fka KSLB Holdings, LLC)","Sara Lee Frozen Bakery, LLC (fka KSLB Holdings, LLC)",First Lien,,,,52314000.0,53825000.0,53851000.0,,97.15,5.0,,,,False,,,USD,52314000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Vital Bidco AB (dba Vitamin Well) | First lien senior secured loan | Non-Affiliated,Vital Bidco AB (dba Vitamin Well),Vital Bidco AB (dba Vitamin Well),First Lien,,,,61263000.0,60335000.0,61263000.0,,100.0,4.25,,,,False,,,USD,61263000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Arctic US Bidco, Inc. (dba ThermoSafe) | First lien senior secured loan | Non-Affiliated","Arctic US Bidco, Inc. (dba ThermoSafe)","Arctic US Bidco, Inc. (dba ThermoSafe)",First Lien,,,,34462000.0,34475000.0,34635000.0,,99.5,4.52,,,,False,,,USD,34462000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,"Arctic US Bidco, Inc. (dba ThermoSafe) | First lien senior secured delayed draw term loan | Non-Affiliated","Arctic US Bidco, Inc. (dba ThermoSafe)","Arctic US Bidco, Inc. (dba ThermoSafe)",First Lien,,,,2049000.0,2052000.0,2083000.0,,98.37,4.5,,,,False,,,USD,2049000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Bamboo US BidCo LLC | First lien senior secured loan | Non-Affiliated,Bamboo US BidCo LLC,Bamboo US BidCo LLC,First Lien,,,,10642000.0,10582000.0,10642000.0,,100.0,5.25,,,,False,,,USD,10642000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Bamboo US BidCo LLC | First lien senior secured EUR term loan | Non-Affiliated,Bamboo US BidCo LLC,Bamboo US BidCo LLC,First Lien,,,,5304000.0,4814000.0,4639000.0,,114.33,5.25,,,,False,,,USD,5304000.0
OBDC,0001655888,0001655888-26-000056,10-Q,2026-06-30,2026-08-05,Bamboo US BidCo LLC | First lien senior secured revolving loan | Non-Affiliated,Bamboo US BidCo LLC,Bamboo US BidCo LLC,First Lien,,,,538000.0,538000.0,538000.0,,100.0,5.25,,,,False,,,USD,538000.0
