bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"CG Group Holdings, LLC | One stop 4 | Non-Affiliated Issuer","CG Group Holdings, LLC","CG Group Holdings, LLC",First Lien,,,,-1000.0,-1000.0,0.0,,100.0,,,,,False,,,USD,-1000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 1 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,38258000.0,38106000.0,38258000.0,,100.0,5.5,9.14,,,False,,,USD,38258000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 2 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,8917000.0,9004000.0,8917000.0,,100.0,5.5,9.14,,,False,,,USD,8917000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 3 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,2668000.0,2696000.0,2668000.0,,100.0,5.5,9.14,,,False,,,USD,2668000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 4 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,1621000.0,1635000.0,1621000.0,,100.0,5.5,9.14,,,False,,,USD,1621000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 5 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,1540000.0,1553000.0,1540000.0,,100.0,5.5,9.14,,,False,,,USD,1540000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 6 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,1344000.0,1355000.0,1344000.0,,100.0,5.5,9.14,,,False,,,USD,1344000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 7 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,1293000.0,1285000.0,1293000.0,,100.0,5.5,9.14,,,False,,,USD,1293000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 8 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,1108000.0,1107000.0,1108000.0,,100.0,5.5,9.14,,,False,,,USD,1108000.0
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Denali Midco 2, LLC | One stop 9 | Non-Affiliated Issuer","Denali Midco 2, LLC","Denali Midco 2, LLC",First Lien,,,,1075000.0,1074000.0,1075000.0,,100.0,5.5,9.14,,,False,,,USD,1075000.0
