bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,American Vision Partners | Health Care Equipment & Services 1,American Vision Partners,American Vision Partners,,Health Care Equipment & Services,,,80561268.50143012,80380840.12852658,80561268.50143012,,100.0,5.8,,,,False,,,USD,89300000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,American Vision Partners | Health Care Equipment & Services 2,American Vision Partners,American Vision Partners,,Health Care Equipment & Services,,,7036706.543238017,7036706.543238017,7036706.543238017,,100.0,5.8,,,,False,,,USD,7800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Apex Group Limited | Financial Services,Apex Group Limited,Apex Group Limited,,Financial Services,,,1984712.101938928,2165140.474842467,2165140.474842467,,91.67,3.5,,,,False,,,USD,2200000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Apex Service Partners LLC | Commercial & Professional Services 1,Apex Service Partners LLC,Apex Service Partners LLC,,Commercial & Professional Services,,,2165140.474842467,2165140.474842467,2165140.474842467,,100.0,5.0,,,,False,,,USD,2400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Apex Service Partners LLC | Commercial & Professional Services 2,Apex Service Partners LLC,Apex Service Partners LLC,,Commercial & Professional Services,,,28146826.172952067,27876183.61359676,27876183.61359676,,100.97,5.0,,,,False,,,USD,31200000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Apex Service Partners LLC | Commercial & Professional Services 3,Apex Service Partners LLC,Apex Service Partners LLC,,Commercial & Professional Services,,,84260050.14595267,82816623.16272436,83448122.46788675,,100.97,5.0,,,,False,,,USD,93400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Apex Service Partners LLC | Commercial & Professional Services 4,Apex Service Partners LLC,Apex Service Partners LLC,,Commercial & Professional Services,,,2525997.2206495446,2525997.2206495446,2525997.2206495446,,100.0,5.0,,,,False,,,USD,2800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Arcfield Acquisition Corp | Capital Goods,Arcfield Acquisition Corp,Arcfield Acquisition Corp,,Capital Goods,,,5412851.187106167,5412851.187106167,5412851.187106167,,100.0,5.0,,,,False,,,USD,6000000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Arcwood Environmental (fka Heritage Environmental Services Inc) | Commercial & Professional Services 1,Arcwood Environmental (fka Heritage Environmental Services Inc),Arcwood Environmental (fka Heritage Environmental Services Inc),,Commercial & Professional Services,,,47272233.700727195,47001591.14137188,47272233.700727195,,100.0,5.3,,,,False,,,USD,52400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Arcwood Environmental (fka Heritage Environmental Services Inc) | Commercial & Professional Services 2,Arcwood Environmental (fka Heritage Environmental Services Inc),Arcwood Environmental (fka Heritage Environmental Services Inc),,Commercial & Professional Services,,,14975554.95099373,14975554.95099373,14975554.95099373,,100.0,5.0,,,,False,,,USD,16600000.0
