bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Hawk Ridge Systems, LLC | Secured Debt 1","Hawk Ridge Systems, LLC","Hawk Ridge Systems, LLC",Secured Debt,,,,0.0,-23000.0,0.0,,-0.0,6.0,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Hawk Ridge Systems, LLC | Secured Debt 4","Hawk Ridge Systems, LLC","Hawk Ridge Systems, LLC",Secured Debt,,,,49871000.0,49600000.0,49871000.0,,100.55,,11.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Hawk Ridge Systems, LLC | Preferred Member Units 1","Hawk Ridge Systems, LLC","Hawk Ridge Systems, LLC",Preferred Equity,,,,26310000.0,2850000.0,,226.0,923.16,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Hawk Ridge Systems, LLC | Preferred Member Units 2","Hawk Ridge Systems, LLC","Hawk Ridge Systems, LLC",Preferred Equity,,,,1380000.0,150000.0,,226.0,920.0,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Houston Plating and Coatings, LLC | Unsecured Convertible Debt","Houston Plating and Coatings, LLC","Houston Plating and Coatings, LLC",,,,,3000000.0,3000000.0,3000000.0,,100.0,,10.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Houston Plating and Coatings, LLC | Member Units","Houston Plating and Coatings, LLC","Houston Plating and Coatings, LLC",Equity,,,,3510000.0,2352000.0,,322297.0,149.23,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Independent Pet Partners Intermediate Holdings, LLC | Common Equity","Independent Pet Partners Intermediate Holdings, LLC","Independent Pet Partners Intermediate Holdings, LLC",Common Equity,,,,19000000.0,18300000.0,,18006407.0,103.83,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Infinity X1 Holdings, LLC | Secured Debt 1","Infinity X1 Holdings, LLC","Infinity X1 Holdings, LLC",Secured Debt,,,,0.0,0.0,0.0,,,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Infinity X1 Holdings, LLC | Secured Debt 2","Infinity X1 Holdings, LLC","Infinity X1 Holdings, LLC",Secured Debt,,,,15074000.0,15065000.0,15074000.0,,100.06,,12.0,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Infinity X1 Holdings, LLC | Preferred Equity","Infinity X1 Holdings, LLC","Infinity X1 Holdings, LLC",Preferred Equity,,,,8340000.0,4368000.0,,87360.0,190.93,,,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Integral Energy Services | Secured Debt,Integral Energy Services,Integral Energy Services,Secured Debt,,,,11786000.0,12252000.0,12273000.0,,96.2,7.5,11.42,,,False,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Integral Energy Services | Preferred Equity 1,Integral Energy Services,Integral Energy Services,Preferred Equity,,,,427000.0,288000.0,,3188.0,148.26,,10.0,,10.0,True,,,USD,
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Integral Energy Services | Preferred Equity 2,Integral Energy Services,Integral Energy Services,Preferred Equity,,,,404000.0,328000.0,,3078.0,123.17,,10.0,,10.0,True,,,USD,
