bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"New Blackboard, LLC | Application Software | Common Stock",New Blackboard,New Blackboard,Common Equity,,,,200000.0,721000.0,,199654.0,27.74,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Next Holdco, LLC, Health Care Technology, First Lien Term Loan 1","Next Holdco, LLC","Next Holdco, LLC",First Lien Term Loan 1,Health Care Technology,,,19427000.0,19402000.0,19595000.0,,100.13,5.25,8.89,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Next Holdco, LLC, Health Care Technology, First Lien Term Loan 2","Next Holdco, LLC","Next Holdco, LLC",First Lien Term Loan 2,Health Care Technology,,,7679000.0,7683000.0,7745000.0,,99.95,5.25,8.89,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Next Holdco, LLC, Health Care Technology, First Lien Revolver","Next Holdco, LLC","Next Holdco, LLC",First Lien Revolver,Health Care Technology,,,-16000.0,-17000.0,0.0,,94.12,5.25,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,Nexus Buyer LLC | Specialized Finance | First Lien Term Loan,Nexus Buyer LLC | Specialized Finance |,Nexus Buyer LLC | Specialized Finance |,First Lien,,,,2414000.0,2428000.0,2503000.0,,99.42,3.5,7.17,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Nexus Buyer LLC, Specialized Finance, Second Lien Term Loan",Nexus Buyer LLC,Nexus Buyer LLC,Second Lien Term Loan,Specialized Finance,,,13299000.0,13555000.0,13675000.0,,98.11,5.75,9.42,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,NFO Orange Buyer LLC | Distributors | First Lien Term Loan 1,NFO Orange Buyer LLC | Distributors |,NFO Orange Buyer LLC | Distributors |,First Lien,,,,11858000.0,11857000.0,11916000.0,,100.01,4.5,8.24,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,NFO Orange Buyer LLC | Distributors | First Lien Term Loan 2,NFO Orange Buyer LLC | Distributors |,NFO Orange Buyer LLC | Distributors |,First Lien,,,,-6000.0,-6000.0,0.0,,100.0,4.5,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,NFO Orange Buyer LLC | Distributors | First Lien Revolver,NFO Orange Buyer LLC | Distributors |,NFO Orange Buyer LLC | Distributors |,First Lien,,,,332000.0,332000.0,340000.0,,100.0,3.5,10.25,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"NN, Inc., Industrial Machinery & Supplies & Components, Warrants 1","NN, Inc., Industrial Machinery & Supplies & Components","NN, Inc., Industrial Machinery & Supplies & Components",Warrant,,,,703000.0,0.0,,487870.0,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"NN, Inc., Industrial Machinery & Supplies & Components, Warrants 2","NN, Inc., Industrial Machinery & Supplies & Components","NN, Inc., Industrial Machinery & Supplies & Components",Warrant,,,,345000.0,0.0,,239590.0,,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Northwoods Capital 20 Ltd, Multi-Sector Holdings, CLO Notes",Northwoods Capital 20 Ltd,Northwoods Capital 20 Ltd,CLO Notes,Multi-Sector Holdings,,,1389000.0,1487000.0,1500000.0,,93.41,6.88,10.55,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Octagon 67 Ltd, Multi-Sector Holdings, CLO Notes",Octagon 67 Ltd,Octagon 67 Ltd,CLO Notes,Multi-Sector Holdings,,,975000.0,1033000.0,1000000.0,,94.39,7.41,11.08,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Optimizely North America Inc., Application Software, First Lien Term Loan",Optimizely North America Inc.,Optimizely North America Inc.,First Lien Term Loan,Application Software,,,10701000.0,11182000.0,11272000.0,,95.7,5.0,8.67,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Optimizely North America Inc., Application Software, First Lien Revolver",Optimizely North America Inc.,Optimizely North America Inc.,First Lien Revolver,Application Software,,,-73000.0,-14000.0,0.0,,521.43,5.0,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Optimizely Sweden Holdings AB, Application Software, First Lien Term Loan 1",Optimizely Sweden Holdings AB,Optimizely Sweden Holdings AB,First Lien Term Loan 1,Application Software,,,4402000.0,4341000.0,4027000.0,,101.41,5.25,7.16,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Optimizely Sweden Holdings AB, Application Software, First Lien Term Loan 2",Optimizely Sweden Holdings AB,Optimizely Sweden Holdings AB,First Lien Term Loan 2,Application Software,,,1682000.0,1733000.0,1342000.0,,97.06,5.5,9.23,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"OTG Management, LLC, Airport Services, First Lien Term Loan","OTG Management, LLC, Airport Services","OTG Management, LLC, Airport Services",First Lien,,,,14748000.0,13696000.0,14748000.0,,107.68,8.5,,,12.1,True,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"OTG Management, LLC, Airport Services, Common Stock","OTG Management, LLC, Airport Services","OTG Management, LLC, Airport Services",Common Equity,,,,5357000.0,22330000.0,,2613034.0,23.99,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Otranto Park, Multi-Sector Holdings, CLO Notes",Otranto Park,Otranto Park,CLO Notes,Multi-Sector Holdings,,,1144000.0,1211000.0,1050000.0,,94.47,5.4,7.42,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PAI Financing Merger Sub LLC, Pharmaceuticals, First Lien Term Loan",PAI Financing Merger Sub LLC,PAI Financing Merger Sub LLC,First Lien Term Loan,Pharmaceuticals,,,24051000.0,24083000.0,24390000.0,,99.87,4.5,8.17,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"PAI Financing Merger Sub LLC, Pharmaceuticals, First Lien Revolver",PAI Financing Merger Sub LLC,PAI Financing Merger Sub LLC,First Lien Revolver,Pharmaceuticals,,,449000.0,455000.0,521000.0,,98.68,4.5,8.2,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Park Blue CLO Ltd, Multi-Sector Holdings, CLO Notes 1",Park Blue CLO Ltd,Park Blue CLO Ltd,CLO Notes 1,Multi-Sector Holdings,,,2537000.0,2833000.0,2750000.0,,89.55,7.09,10.76,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Park Blue CLO Ltd, Multi-Sector Holdings, CLO Notes 2",Park Blue CLO Ltd,Park Blue CLO Ltd,CLO Notes 2,Multi-Sector Holdings,,,1704000.0,1750000.0,1750000.0,,97.37,5.55,9.5,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Paulus Holdings Public Limited Company, Health Care Technology, Preferred Equity",Paulus Holdings Public Limited Company,Paulus Holdings Public Limited Company,Preferred Equity,Health Care Technology,,,1787000.0,1165000.0,,57326.0,153.39,,,,,False,,,USD,
OCSL,0001414932,0001414932-26-000012,10-Q,2026-03-31,2026-05-05,"Paulus Holdings Public Limited Company, Health Care Technology, Warrants",Paulus Holdings Public Limited Company,Paulus Holdings Public Limited Company,Warrants,Health Care Technology,,,393000.0,256000.0,,12593.0,153.52,,,,,False,,,USD,
