bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Mission Critical Group | Secured Debt 1,Mission Critical Group,Mission Critical Group,Secured Debt,,,,-184000.0,-184000.0,0.0,,100.0,5.5,,,,False,,,USD,,,Unaffiliated,Secured Debt,,2030-04-17,2025-04-17,Backup Power Generation,,,,,,,Utilities,Utilities,First Lien,,Mission Critical Group
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Mission Critical Group | Secured Debt 2,Mission Critical Group,Mission Critical Group,Secured Debt,,,,80593000.0,79137000.0,80593000.0,,100.0,5.5,9.17,,,False,,,USD,,,Unaffiliated,Secured Debt,,2030-04-17,2025-04-17,Backup Power Generation,,,,9.17,,,Utilities,Utilities,First Lien,,Mission Critical Group
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Mission Critical Group | Common Equity,Mission Critical Group,Mission Critical Group,Common Equity,,,,22240000.0,1234000.0,,1234.0,1802.27,,,,,False,,,USD,,,Unaffiliated,Common Equity,,,2023-06-07,Backup Power Generation,,,,,,,Utilities,Utilities,Common Equity,,Mission Critical Group
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"MonitorUS Holding, LLC | Secured Debt 1","MonitorUS Holding, LLC","MonitorUS Holding, LLC",Secured Debt,,,,35556000.0,33697000.0,33854000.0,,105.03,6.25,10.21,,,False,,,USD,,,Unaffiliated,Secured Debt,,2027-05-24,2022-05-24,SaaS Provider of Media Intelligence Services,,,,10.21,,,Information Technology,Software & Services,First Lien,,"MonitorUS Holding, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"MonitorUS Holding, LLC | Common Stock","MonitorUS Holding, LLC","MonitorUS Holding, LLC",Common Equity,,,,545000.0,1221000.0,,111058246.0,44.64,,,,,False,,,USD,,,Unaffiliated,Common Stock,,,2022-08-30,SaaS Provider of Media Intelligence Services,,,,,,,Information Technology,Software & Services,Common Equity,,"MonitorUS Holding, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Obra Capital, Inc. | Secured Debt 1","Obra Capital, Inc.","Obra Capital, Inc.",Secured Debt,,,,-3000.0,-3000.0,0.0,,100.0,7.25,,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-12-21,2024-06-21,Provider of Asset Management Services Specialized in Insurance-Linked Strategies,,,,,,,Financials,Diversified Financials,First Lien,,"Obra Capital, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Obra Capital, Inc. | Secured Debt 2","Obra Capital, Inc.","Obra Capital, Inc.",Secured Debt,,,,29170000.0,28595000.0,29170000.0,,100.0,7.25,11.04,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-06-21,2024-06-21,Provider of Asset Management Services Specialized in Insurance-Linked Strategies,,,,11.04,,,Financials,Diversified Financials,First Lien,,"Obra Capital, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"OnPoint Industrial Services, LLC | Secured Debt 1","OnPoint Industrial Services, LLC","OnPoint Industrial Services, LLC",Secured Debt,,,,5224000.0,5192000.0,5224000.0,,100.0,5.75,9.45,,,False,,,USD,,,Unaffiliated,Secured Debt,,2027-11-16,2024-12-18,Environmental & Facilities Services,,,,9.45,,,Industrials,Commercial & Professional Services,First Lien,,"OnPoint Industrial Services, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Ospemifene Royalty Sub LLC | Secured Debt,Ospemifene Royalty Sub LLC,Ospemifene Royalty Sub LLC,Secured Debt,,,,6000.0,4335000.0,4335000.0,,0.14,,,,,False,,,USD,,,Unaffiliated,Secured Debt,,2026-11-15,2013-07-08,Estrogen-Deficiency Drug Manufacturer and Distributor,,,,,,,Industrials,Trading Companies & Distributors,First Lien,,Ospemifene Royalty Sub LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,PavCon LLC | Secured Debt 1,PavCon LLC,PavCon LLC,Secured Debt,,,,-58000.0,-58000.0,0.0,,100.0,5.5,,,,False,,,USD,,,Unaffiliated,Secured Debt,,2031-01-02,2026-01-02,Provider of Predictive Data Analytics to the Department of Defense,,,,,,,Information Technology,Software & Services,First Lien,,PavCon LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,PavCon LLC | Secured Debt 3,PavCon LLC,PavCon LLC,Secured Debt,,,,10644000.0,10644000.0,10850000.0,,98.1,5.5,9.46,,,False,,,USD,,,Unaffiliated,Secured Debt,,2031-01-02,2026-01-02,Provider of Predictive Data Analytics to the Department of Defense,,,,9.46,,,Information Technology,Software & Services,First Lien,,PavCon LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Peaches Holding Corporation | Common Equity,Peaches Holding Corporation,Peaches Holding Corporation,Common Equity,,,,0.0,7221000.0,,3226.0,0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Consumer Discretionary,Consumer Durables & Apparel,Common Equity,,Peaches Holding Corporation
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,PrimeFlight Aviation Services | Secured Debt 1,PrimeFlight Aviation Services,PrimeFlight Aviation Services,Secured Debt,,,,7780000.0,7630000.0,7780000.0,,100.0,5.5,9.16,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-05-01,2023-05-01,Air Freight & Logistics,,,,9.16,,,Industrials,Transportation,First Lien,,PrimeFlight Aviation Services
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,PrimeFlight Aviation Services | Secured Debt 2,PrimeFlight Aviation Services,PrimeFlight Aviation Services,Secured Debt,,,,1490000.0,1462000.0,1490000.0,,100.0,5.5,9.2,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-05-01,2023-09-07,Air Freight & Logistics,,,,9.2,,,Industrials,Transportation,First Lien,,PrimeFlight Aviation Services
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,PrimeFlight Aviation Services | Secured Debt 4,PrimeFlight Aviation Services,PrimeFlight Aviation Services,Secured Debt,,,,848000.0,840000.0,848000.0,,100.0,5.25,8.95,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-05-01,2024-06-28,Air Freight & Logistics,,,,8.95,,,Industrials,Transportation,First Lien,,PrimeFlight Aviation Services
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,PrimeFlight Aviation Services | Secured Debt 5,PrimeFlight Aviation Services,PrimeFlight Aviation Services,Secured Debt,,,,3897000.0,3867000.0,3897000.0,,100.0,5.25,8.92,,,False,,,USD,,,Unaffiliated,Secured Debt,,2029-05-01,2025-01-21,Air Freight & Logistics,,,,8.92,,,Industrials,Transportation,First Lien,,PrimeFlight Aviation Services
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,PrimeFlight Aviation Services | Secured Debt 7,PrimeFlight Aviation Services,PrimeFlight Aviation Services,Secured Debt,,,,13696000.0,13568000.0,13696000.0,,100.0,4.75,8.41,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Unaffiliated,Secured Debt,,2029-05-01,2025-11-21,Air Freight & Logistics,,,,8.63,,,Cash & Equivalents,Cash & Equivalents,First Lien,,PrimeFlight Aviation Services
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Richardson Sales Solutions | Secured Debt 1,Richardson Sales Solutions,Richardson Sales Solutions,Secured Debt,,,,0.0,-49000.0,0.0,,-0.0,5.0,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Commercial & Professional Services,First Lien,,Richardson Sales Solutions
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Richardson Sales Solutions | Secured Debt 2,Richardson Sales Solutions,Richardson Sales Solutions,Secured Debt,,,,32945000.0,32401000.0,32949000.0,,99.99,5.0,8.67,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-08-24,2023-08-24,Business Services,,,,8.67,,,Industrials,Commercial & Professional Services,First Lien,,Richardson Sales Solutions
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Richardson Sales Solutions | Secured Debt 3,Richardson Sales Solutions,Richardson Sales Solutions,Secured Debt,,,,21404000.0,21145000.0,21406000.0,,99.99,5.0,8.65,,,False,,,USD,,,Unaffiliated,Secured Debt,,2028-08-24,2024-09-10,Business Services,,,,8.65,,,Industrials,Commercial & Professional Services,First Lien,,Richardson Sales Solutions
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Roof Opco, LLC | Secured Debt 1","Roof Opco, LLC","Roof Opco, LLC",Secured Debt,,,,0.0,-2000.0,0.0,,-0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Commercial & Professional Services,First Lien,,"Roof Opco, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Roof Opco, LLC | Secured Debt 2","Roof Opco, LLC","Roof Opco, LLC",Secured Debt,,,,5398000.0,7350000.0,7380000.0,,73.14,,10.0,,10.0,True,,,USD,,,Unaffiliated,Secured Debt,,2029-08-31,2021-08-27,Residential Re-Roofing/Repair,,,,10.0,,10.0,Industrials,Commercial & Professional Services,First Lien,,"Roof Opco, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Royal Cup Inc. | Secured Debt 1,Royal Cup Inc.,Royal Cup Inc.,Secured Debt,,,,4143000.0,3978000.0,4188000.0,,98.93,5.25,8.91,,,False,,,USD,,,Unaffiliated,Secured Debt,,2030-11-26,2025-11-26,Coffee Roaster and Beverage Solutions Provider,,,,8.91,,,Consumer Staples,"Food, Beverage & Tobacco",First Lien,,Royal Cup Inc.
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Royal Cup Inc. | Secured Debt 2,Royal Cup Inc.,Royal Cup Inc.,Secured Debt,,,,-420000.0,-420000.0,0.0,,100.0,5.25,,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Unaffiliated,Secured Debt,,2030-11-26,2025-11-26,Coffee Roaster and Beverage Solutions Provider,,,,,,,Cash & Equivalents,Cash & Equivalents,First Lien,,Royal Cup Inc.
