bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Kellermeyer Bergensons Services LLC | Commercial & Professional Services 1,Kellermeyer Bergensons Services LLC,Kellermeyer Bergensons Services LLC,,Commercial & Professional Services,,,225000000.0,222000000.0,225000000.0,,100.0,5.3,,,,False,,,USD,225000000.0,Commercial & Professional Services,,First Lien,,2028-11,,,1.0,(ad)(v),,,5.3,,Industrials,Commercial & Professional Services,First Lien,,Kellermeyer Bergensons Services LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Kellermeyer Bergensons Services LLC | Commercial & Professional Services 2,Kellermeyer Bergensons Services LLC,Kellermeyer Bergensons Services LLC,,Commercial & Professional Services,,,13100000.0,94200000.0,104800000.0,,12.5,8.0,,,7.0,True,,,USD,13100000.0,Commercial & Professional Services,,First Lien,,2028-11,,,1.0,(ad)(v)(y)(z),,,8.0,,Industrials,Commercial & Professional Services,First Lien,,Kellermeyer Bergensons Services LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Keystone Agency Partners LLC | Insurance 1,Keystone Agency Partners LLC,Keystone Agency Partners LLC,,Insurance,,,45400000.0,45400000.0,45600000.0,,99.56,4.3,,,0.0,False,,,USD,45400000.0,Insurance,,First Lien,,2032-08,,,0.8,(k)(l)(v),,,4.3,,Financials,Insurance,First Lien,,Keystone Agency Partners LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,"Laboratoires Vivacy SAS | Pharmaceuticals, Biotechnology & Life Sciences 1",Laboratoires Vivacy SAS,Laboratoires Vivacy SAS,,"Pharmaceuticals, Biotechnology & Life Sciences",,,600000.0,700000.0,600000.0,,100.0,6.7,,,0.0,False,,,USD,600000.0,"Pharmaceuticals, Biotechnology & Life Sciences",,First Lien,,2030-03,,,,(v)(w),,,6.7,,Health Care,Health Care Equipment & Services,First Lien,,Laboratoires Vivacy SAS
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Lazer Logistics Inc | Transportation 1,Lazer Logistics Inc,Lazer Logistics Inc,,Transportation,,,28100000.0,27800000.0,27900000.0,,100.72,4.8,,,,False,,,USD,28100000.0,Transportation,,First Lien,,2030-05,,,0.8,(k)(v),,,4.8,,Industrials,Transportation,First Lien,,Lazer Logistics Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Lazer Logistics Inc | Transportation 3,Lazer Logistics Inc,Lazer Logistics Inc,,Transportation,,,1900000.0,1900000.0,1900000.0,,100.0,4.8,,,,False,,,USD,1900000.0,Transportation,,First Lien,,2029-05,,,0.8,(x),,,4.8,,Industrials,Transportation,First Lien,,Lazer Logistics Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Learning Experience Corp/The | Consumer Services 1,Learning Experience Corp/The,Learning Experience Corp/The,,Consumer Services,,,19500000.0,19300000.0,19400000.0,,100.52,4.8,,,0.0,False,,,USD,19500000.0,Consumer Services,,First Lien,,2032-07,,,0.8,(t),,,4.8,,Consumer Discretionary,Consumer Services,First Lien,,Learning Experience Corp/The
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Legends Hospitality LLC | Consumer Services 1,Legends Hospitality LLC,Legends Hospitality LLC,,Consumer Services,,,13700000.0,13700000.0,13700000.0,,100.0,5.0,,,0.0,False,,,USD,13700000.0,Consumer Services,,First Lien,,2030-08,,,0.8,(v),,,5.0,,Consumer Discretionary,Consumer Services,First Lien,Legends,Legends Hospitality LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Legends Hospitality LLC | Consumer Services 2,Legends Hospitality LLC,Legends Hospitality LLC,,Consumer Services,,,79000000.0,78700000.0,79400000.0,,99.5,5.0,,,0.0,False,,,USD,79000000.0,Consumer Services,,First Lien,,2031-08,,,0.8,(p)(t)(v),,,5.0,,Consumer Discretionary,Consumer Services,First Lien,Legends,Legends Hospitality LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Lionbridge Technologies Inc | Media & Entertainment 1,Lionbridge Technologies Inc,Lionbridge Technologies Inc,,Media & Entertainment,,,55400000.0,55400000.0,55400000.0,,100.0,5.0,,,,False,,,USD,55400000.0,Media & Entertainment,,First Lien,,2031-05,,,1.0,(ad)(i)(v),,,5.0,,Communication Services,Media & Entertainment,First Lien,,Lionbridge Technologies Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Lionbridge Technologies Inc | Media & Entertainment 2,Lionbridge Technologies Inc,Lionbridge Technologies Inc,,Media & Entertainment,,,25900000.0,53800000.0,60400000.0,,42.88,6.0,,,,False,,,USD,25900000.0,Media & Entertainment,,First Lien,,2031-05,,,1.0,(ad)(i)(v)(y)(z),,,6.0,,Communication Services,Media & Entertainment,First Lien,,Lionbridge Technologies Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Lipari Foods LLC | Consumer Staples Distribution & Retail,Lipari Foods LLC,Lipari Foods LLC,,Consumer Staples Distribution & Retail,,,98300000.0,97600000.0,98300000.0,,100.0,6.5,,,,False,,,USD,98300000.0,Consumer Staples Distribution & Retail,,First Lien,,2028-10,,,1.0,(i)(v),,,6.5,,Consumer Staples,Food & Staples Retailing,First Lien,,Lipari Foods LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Magna Legal Services LLC | Commercial & Professional Services 1,Magna Legal Services LLC,Magna Legal Services LLC,,Commercial & Professional Services,,,40900000.0,40800000.0,40900000.0,,100.0,4.5,,,,False,,,USD,40900000.0,Commercial & Professional Services,,First Lien,,2029-11,,,0.8,(k)(l)(v),,,4.5,,Industrials,Commercial & Professional Services,First Lien,,Magna Legal Services LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Magna Legal Services LLC | Commercial & Professional Services 3,Magna Legal Services LLC,Magna Legal Services LLC,,Commercial & Professional Services,,,2200000.0,2200000.0,2200000.0,,100.0,4.5,,,,False,,,USD,2200000.0,Commercial & Professional Services,,First Lien,,2028-11,,,0.8,(x),,,4.5,,Industrials,Commercial & Professional Services,First Lien,,Magna Legal Services LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,MAI Capital Management LLC | Financial Services 1,MAI Capital Management LLC,MAI Capital Management LLC,,Financial Services,,,12700000.0,12600000.0,12600000.0,,100.79,4.8,,,,False,,,USD,12700000.0,Financial Services,,First Lien,,2031-08,,,0.8,(v),,,4.8,,Financials,Diversified Financials,First Lien,,MAI Capital Management LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,MB2 Dental Solutions LLC | Health Care Equipment & Services 1,MB2 Dental Solutions LLC,MB2 Dental Solutions LLC,,Health Care Equipment & Services,,,168600000.0,166200000.0,167100000.0,,100.9,5.5,,,,False,,,USD,168600000.0,Health Care Equipment & Services,,First Lien,,2031-02,,,0.8,(k)(l)(p)(t)(v),,,5.5,,Health Care,Health Care Equipment & Services,First Lien,MB2 Dental,MB2 Dental Solutions LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Medallia Inc | Software & Services,Medallia Inc,Medallia Inc,,Software & Services,,,126600000.0,233000000.0,234100000.0,,54.08,6.0,,,,False,,,USD,126600000.0,Software & Services,,First Lien,,2028-10,,,0.8,(v)(y)(z),,,6.0,,Information Technology,Software & Services,First Lien,,Medallia Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Med-Metrix | Software & Services 1,Med-Metrix,Med-Metrix,,Software & Services,,,147900000.0,148800000.0,149100000.0,,99.2,4.5,,,0.0,False,,,USD,147900000.0,Software & Services,,First Lien,,2032-07,,,0.8,(k)(p)(t)(v),,,4.5,,Information Technology,Software & Services,First Lien,,Med-Metrix
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Mercer Advisors Inc | Financial Services 1,Mercer Advisors Inc,Mercer Advisors Inc,,Financial Services,,,46900000.0,47200000.0,47200000.0,,99.36,4.5,,,,False,,,USD,46900000.0,Financial Services,,First Lien,,2030-10,,,0.8,(k)(v),,,4.5,,Financials,Diversified Financials,First Lien,,Mercer Advisors Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Model N Inc | Software & Services 1,Model N Inc,Model N Inc,,Software & Services,,,38400000.0,38600000.0,38700000.0,,99.22,4.8,,,0.0,False,,,USD,38400000.0,Software & Services,,First Lien,,2031-06,,,0.8,(l)(v),,,4.8,,Information Technology,Software & Services,First Lien,,Model N Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,NAVEX Global Inc | Software & Services 1,NAVEX Global Inc,NAVEX Global Inc,,Software & Services,,,20800000.0,21300000.0,21400000.0,,97.2,5.0,,,0.0,False,,,USD,20800000.0,Software & Services,,First Lien,,2032-10,,,0.8,(k)(v),,,5.0,,Information Technology,Software & Services,First Lien,,NAVEX Global Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,NAVEX Global Inc | Software & Services 2,NAVEX Global Inc,NAVEX Global Inc,,Software & Services,,,300000.0,300000.0,300000.0,,100.0,5.0,,,,False,,,USD,300000.0,Software & Services,,First Lien,,2031-10,,,0.8,(x),,,5.0,,Information Technology,Software & Services,First Lien,,NAVEX Global Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,NBG Home | Consumer Durables & Apparel 1,NBG Home,NBG Home,,Consumer Durables & Apparel,,,10100000.0,10100000.0,10100000.0,,100.0,,,,,False,,,USD,10100000.0,Consumer Durables & Apparel,,First Lien,,2026-12,,,,(v)(y),,,,,Consumer Discretionary,Consumer Durables & Apparel,First Lien,,NBG Home
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,NBG Home | Consumer Durables & Apparel 2,NBG Home,NBG Home,,Consumer Durables & Apparel,,,3700000.0,30700000.0,32700000.0,,11.31,10.0,,,,False,,,USD,3700000.0,Consumer Durables & Apparel,,First Lien,,2026-12,,,1.0,(v)(y)(z),,,10.0,,Consumer Discretionary,Consumer Durables & Apparel,First Lien,,NBG Home
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,NCI Inc | Software & Services,NCI Inc,NCI Inc,,Software & Services,,,30400000.0,30500000.0,30400000.0,,100.0,7.5,,,0.0,False,,,USD,30400000.0,Software & Services,,First Lien,,2028-08,,,1.0,(ad)(v),,,7.5,,Information Technology,Software & Services,First Lien,Empower AI,NCI Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,NEFCO Corp | Capital Goods 1,NEFCO Corp,NEFCO Corp,,Capital Goods,,,30600000.0,30700000.0,30800000.0,,99.35,4.5,,,,False,,,USD,30600000.0,Capital Goods,,First Lien,,2033-01,,,0.8,(v),,,4.5,,Industrials,Capital Goods,First Lien,,NEFCO Corp
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,NeoGov Newt Holdco Inc | Software & Services 1,NeoGov Newt Holdco Inc,NeoGov Newt Holdco Inc,,Software & Services,,,27700000.0,28400000.0,28400000.0,,97.54,4.5,,,0.0,False,,,USD,27700000.0,Software & Services,,First Lien,,2032-09,,,0.5,(p)(v),,,4.5,,Information Technology,Software & Services,First Lien,,NeoGov Newt Holdco Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Net Documents | Software & Services 1,Net Documents,Net Documents,,Software & Services,,,75700000.0,75600000.0,75700000.0,,100.0,4.8,,,,False,,,USD,75700000.0,Software & Services,,First Lien,,2029-07,,,1.0,(k)(l)(p)(v),,,4.8,,Information Technology,Software & Services,First Lien,,Net Documents
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Net Documents | Software & Services 2,Net Documents,Net Documents,,Software & Services,,,6400000.0,6400000.0,6400000.0,,100.0,4.5,,,,False,,,USD,6400000.0,Software & Services,,First Lien,,2029-07,,,1.0,(x),,,4.5,,Information Technology,Software & Services,First Lien,,Net Documents
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Netsmart Technologies Inc | Health Care Equipment & Services 1,Netsmart Technologies Inc,Netsmart Technologies Inc,,Health Care Equipment & Services,,,59900000.0,60500000.0,60700000.0,,98.68,5.2,,,2.7,True,,,USD,59900000.0,Health Care Equipment & Services,,First Lien,,2031-08,,,0.8,(l)(v),,,5.2,,Health Care,Health Care Equipment & Services,First Lien,,Netsmart Technologies Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Netsmart Technologies Inc | Health Care Equipment & Services 2,Netsmart Technologies Inc,Netsmart Technologies Inc,,Health Care Equipment & Services,,,6100000.0,6200000.0,6200000.0,,98.39,5.0,,,2.5,True,,,USD,6100000.0,Health Care Equipment & Services,,First Lien,,2031-08,,,0.8,(x),,,5.0,,Health Care,Health Care Equipment & Services,First Lien,,Netsmart Technologies Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Netsmart Technologies Inc | Health Care Equipment & Services 3,Netsmart Technologies Inc,Netsmart Technologies Inc,,Health Care Equipment & Services,,,6200000.0,6300000.0,6300000.0,,98.41,4.8,,,,False,,,USD,6200000.0,Health Care Equipment & Services,,First Lien,,2031-08,,,0.8,(x),,,4.8,,Health Care,Health Care Equipment & Services,First Lien,,Netsmart Technologies Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,New Era Technology LLC | Software & Services 1,New Era Technology LLC,New Era Technology LLC,,Software & Services,,,15400000.0,15400000.0,15400000.0,,100.0,6.3,,,,False,,,USD,15400000.0,Software & Services,,First Lien,,2030-06,,,,(v),,,6.3,,Information Technology,Software & Services,First Lien,,New Era Technology LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Nordic Climate Group Holding AB | Commercial & Professional Services 1,Nordic Climate Group Holding AB,Nordic Climate Group Holding AB,,Commercial & Professional Services,,,23800000.0,21000000.0,227100000.0,,10.48,5.4,,,0.0,False,,,USD,23800000.0,Commercial & Professional Services,,First Lien,,2031-06,,,,(v)(w),,,5.4,,Industrials,Commercial & Professional Services,First Lien,,Nordic Climate Group Holding AB
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Nordic Climate Group Holding AB | Commercial & Professional Services 2,Nordic Climate Group Holding AB,Nordic Climate Group Holding AB,,Commercial & Professional Services,,,17600000.0,16000000.0,15300000.0,,115.03,5.3,,,0.0,False,,,USD,17600000.0,Commercial & Professional Services,,First Lien,,2031-06,,,,(v)(w),,,5.3,,Industrials,Commercial & Professional Services,First Lien,,Nordic Climate Group Holding AB
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,OEConnection LLC | Software & Services 1,OEConnection LLC,OEConnection LLC,,Software & Services,,,38100000.0,38900000.0,38900000.0,,97.94,4.5,,,0.0,False,,,USD,38100000.0,Software & Services,,First Lien,,2032-12,,,0.5,(k)(l)(v),,,4.5,,Information Technology,Software & Services,First Lien,,OEConnection LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Orion Services Group | Capital Goods 1,Orion Services Group,Orion Services Group,,Capital Goods,,,4000000.0,4000000.0,4000000.0,,100.0,4.5,,,0.0,False,,,USD,4000000.0,Capital Goods,,First Lien,,2032-11,,,0.8,(v),,,4.5,,Industrials,Capital Goods,First Lien,,Orion Services Group
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Oxford Global Resources LLC | Commercial & Professional Services 1,Oxford Global Resources LLC,Oxford Global Resources LLC,,Commercial & Professional Services,,,107600000.0,107300000.0,107600000.0,,100.0,6.0,,,,False,,,USD,107600000.0,Commercial & Professional Services,,First Lien,,2027-08,,,1.0,(k)(l)(p)(t)(v),,,6.0,,Industrials,Commercial & Professional Services,First Lien,,Oxford Global Resources LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,PartsSource Inc | Health Care Equipment & Services 1,PartsSource Inc,PartsSource Inc,,Health Care Equipment & Services,,,4300000.0,4300000.0,4300000.0,,100.0,5.8,,,,False,,,USD,4300000.0,Health Care Equipment & Services,,First Lien,,2026-08,,,0.8,(v),,,5.8,,Health Care,Health Care Equipment & Services,First Lien,,PartsSource Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,PartsSource Inc | Health Care Equipment & Services 2,PartsSource Inc,PartsSource Inc,,Health Care Equipment & Services,,,82200000.0,81800000.0,82200000.0,,100.0,5.8,,,,False,,,USD,82200000.0,Health Care Equipment & Services,,First Lien,,2028-08,,,0.8,(l)(v),,,5.8,,Health Care,Health Care Equipment & Services,First Lien,,PartsSource Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,PCI Pharma Services | Health Care Equipment & Services 1,PCI Pharma Services,PCI Pharma Services,,Health Care Equipment & Services,,,80900000.0,81600000.0,81900000.0,,98.78,5.0,,,,False,,,USD,80900000.0,Health Care Equipment & Services,,First Lien,,2032-10,,,0.8,(k)(v)(w),,,5.0,,Health Care,Health Care Equipment & Services,First Lien,,PCI Pharma Services
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Pike Corp | Capital Goods 1,Pike Corp,Pike Corp,,Capital Goods,,,41000000.0,41600000.0,41700000.0,,98.32,4.5,,,0.0,False,,,USD,41000000.0,Capital Goods,,First Lien,,2032-12,,,0.8,(p)(t),,,4.5,,Industrials,Capital Goods,First Lien,,Pike Corp
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Premise Health Holding Corp | Health Care Equipment & Services 1,Premise Health Holding Corp,Premise Health Holding Corp,,Health Care Equipment & Services,,,8100000.0,8100000.0,8200000.0,,98.78,4.8,,,,False,,,USD,8100000.0,Health Care Equipment & Services,,First Lien,,2032-11,,,0.8,(v),,,4.8,,Health Care,Health Care Equipment & Services,First Lien,Premise Health,Premise Health Holding Corp
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Premise Health Holding Corp | Health Care Equipment & Services 3,Premise Health Holding Corp,Premise Health Holding Corp,,Health Care Equipment & Services,,,500000.0,500000.0,500000.0,,100.0,4.8,,,,False,,,USD,500000.0,Health Care Equipment & Services,,First Lien,,2031-11,,,0.8,(x),,,4.8,,Health Care,Health Care Equipment & Services,First Lien,Premise Health,Premise Health Holding Corp
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Production Resource Group LLC | Media & Entertainment,Production Resource Group LLC,Production Resource Group LLC,,Media & Entertainment,,,292000000.0,281700000.0,283500000.0,,103.0,7.5,,,,False,,,USD,292000000.0,Media & Entertainment,,First Lien,,2030-10,,,1.0,(ad)(v),,,7.5,,Communication Services,Media & Entertainment,First Lien,PRG,Production Resource Group LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,PROS Holdings Inc | Software & Services 1,PROS Holdings Inc,PROS Holdings Inc,,Software & Services,,,11900000.0,12200000.0,12200000.0,,97.54,4.8,,,0.0,False,,,USD,11900000.0,Software & Services,,First Lien,,2032-12,,,,(t),,,4.8,,Information Technology,Software & Services,First Lien,,PROS Holdings Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,PSC Group | Transportation 1,PSC Group,PSC Group,,Transportation,,,2500000.0,2500000.0,2500000.0,,100.0,5.3,,,,False,,,USD,2500000.0,Transportation,,First Lien,,2030-04,,,0.8,(v),,,5.3,,Industrials,Transportation,First Lien,,PSC Group
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,PSC Group | Transportation 2,PSC Group,PSC Group,,Transportation,,,19000000.0,18900000.0,19000000.0,,100.0,5.3,,,,False,,,USD,19000000.0,Transportation,,First Lien,,2031-04,,,0.8,(k)(l)(v),,,5.3,,Industrials,Transportation,First Lien,,PSC Group
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,PSKW LLC (dba ConnectiveRx) | Health Care Equipment & Services,PSKW LLC,PSKW LLC,,Health Care Equipment & Services,,,101000000.0,101000000.0,101000000.0,,100.0,5.5,,,,False,,,USD,101000000.0,Health Care Equipment & Services,,First Lien,,2028-03,,,1.0,(k)(l)(p)(t)(v),,,5.5,,Health Care,Health Care Equipment & Services,First Lien,ConnectiveRx,PSKW LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Radwell International LLC | Capital Goods 1,Radwell International LLC,Radwell International LLC,,Capital Goods,,,131400000.0,131900000.0,131900000.0,,99.62,4.8,,,,False,,,USD,131400000.0,Capital Goods,,First Lien,,2030-04,,,0.8,(i)(k)(p)(v),,,4.8,,Industrials,Capital Goods,First Lien,,Radwell International LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Railpros Inc | Commercial & Professional Services 1,Railpros Inc,Railpros Inc,,Commercial & Professional Services,,,3800000.0,3800000.0,3800000.0,,100.0,4.3,,,,False,,,USD,3800000.0,Commercial & Professional Services,,First Lien,,2032-05,,,0.8,(k)(v),,,4.3,,Industrials,Commercial & Professional Services,First Lien,,Railpros Inc
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Reliant Rehab Hospital Cincinnati LLC | Health Care Equipment & Services 1,Reliant Rehab Hospital Cincinnati LLC,Reliant Rehab Hospital Cincinnati LLC,,Health Care Equipment & Services,,,53500000.0,78600000.0,92500000.0,,57.84,6.3,,,,False,,,USD,53500000.0,Health Care Equipment & Services,,First Lien,,2028-02,,,,(v),,,6.3,,Health Care,Health Care Equipment & Services,First Lien,,Reliant Rehab Hospital Cincinnati LLC
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Resa Power LLC | Commercial & Professional Services 1,Resa Power LLC,Resa Power LLC,,Commercial & Professional Services,,,88700000.0,87700000.0,87900000.0,,100.91,4.5,,,0.0,False,,,USD,88700000.0,Commercial & Professional Services,,First Lien,,2032-04,,,0.8,(k)(t)(v),,,4.5,,Industrials,Commercial & Professional Services,First Lien,RESA Power,Resa Power LLC
