bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Advanced Cooling Technologies, Inc. | One stop 1 | Non-Affiliated Issuer","Advanced Cooling Technologies, Inc.","Advanced Cooling Technologies, Inc.",First Lien,,,,416000.0,417000.0,418000.0,,99.52,4.5,8.14,,,False,,,USD,416000.0,Aerospace & Defense,Unaffiliated,One stop,,2033-05,,,,,,8.14,4.5,,Industrials,Capital Goods,First Lien,,"Advanced Cooling Technologies, Inc."
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Quick Quack Car Wash Holdings, LLC | One stop 2 | Non-Affiliated Issuer","Quick Quack Car Wash Holdings, LLC","Quick Quack Car Wash Holdings, LLC",First Lien,,,,0.0,-2000.0,0.0,,-0.0,,,,,False,,,USD,0.0,,,,,,,,,,,,,,Consumer Discretionary,Automobiles & Components,First Lien,,"Quick Quack Car Wash Holdings, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Strickland's Enterprises, LLC | Senior secured 1 | Non-Affiliated Issuer","Strickland's Enterprises, LLC","Strickland's Enterprises, LLC",First Lien,,,,356000.0,355000.0,356000.0,,100.0,4.5,8.16,,,False,,,USD,356000.0,Automobiles,Unaffiliated,Senior secured,,2031-01,,,,,,8.16,4.5,,Consumer Discretionary,Automobiles & Components,First Lien,,"Strickland's Enterprises, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Strickland's Enterprises, LLC | Senior secured 3 | Non-Affiliated Issuer","Strickland's Enterprises, LLC","Strickland's Enterprises, LLC",First Lien,,,,0.0,-1000.0,0.0,,-0.0,,,,,False,,,USD,0.0,,,,,,,,,,,,,,Consumer Discretionary,Automobiles & Components,First Lien,,"Strickland's Enterprises, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"TWAS Holdings, LLC | One stop 1 | Non-Affiliated Issuer","TWAS Holdings, LLC","TWAS Holdings, LLC",First Lien,,,,110707000.0,110195000.0,111263000.0,,99.5,4.75,8.39,,,False,,,USD,110707000.0,Automobiles,Unaffiliated,One stop,,2029-12,,,,,3.0,8.39,4.75,,Consumer Discretionary,Automobiles & Components,First Lien,,"TWAS Holdings, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"TWAS Holdings, LLC | One stop 2 | Non-Affiliated Issuer","TWAS Holdings, LLC","TWAS Holdings, LLC",First Lien,,,,-8000.0,-12000.0,0.0,,66.67,,,,,False,,,USD,-8000.0,Automobiles,Unaffiliated,One stop,,2029-12,,,,,,,,,Consumer Discretionary,Automobiles & Components,First Lien,,"TWAS Holdings, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Yorkshire Parent, Inc. | Senior secured 1 | Non-Affiliated Issuer","Yorkshire Parent, Inc.","Yorkshire Parent, Inc.",First Lien,,,,3916000.0,3959000.0,3961000.0,,98.86,4.5,8.23,,,False,,,USD,3916000.0,Automobiles,Unaffiliated,Senior secured,,2029-12,,,,,,8.23,4.5,,Consumer Discretionary,Automobiles & Components,First Lien,,"Yorkshire Parent, Inc."
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Yorkshire Parent, Inc. | Senior secured 6 | Non-Affiliated Issuer","Yorkshire Parent, Inc.","Yorkshire Parent, Inc.",First Lien,,,,2216000.0,2219000.0,2227000.0,,99.51,4.5,8.16,,,False,,,USD,2216000.0,Automobiles,Unaffiliated,One stop,,2029-12,,,,,0.1,9.5,5.5,,Consumer Discretionary,Automobiles & Components,First Lien,,"Yorkshire Parent, Inc."
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Empyrean Solutions, LLC | One stop 1 | Non-Affiliated Issuer","Empyrean Solutions, LLC","Empyrean Solutions, LLC",First Lien,,,,9051000.0,9247000.0,9283000.0,,97.5,4.5,8.23,,,False,,,USD,9051000.0,Banks,Unaffiliated,One stop,,2031-11,,,,,0.3,8.23,4.5,,Financials,Banks,First Lien,,"Empyrean Solutions, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"Empyrean Solutions, LLC | One stop 2 | Non-Affiliated Issuer","Empyrean Solutions, LLC","Empyrean Solutions, LLC",First Lien,,,,-128000.0,-19000.0,0.0,,673.68,,,,,False,,,USD,-128000.0,Banks,Unaffiliated,One stop,,2031-11,,,,,,,,,Financials,Banks,First Lien,,"Empyrean Solutions, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"OSP Hamilton Purchaser, LLC | One stop 1 | Non-Affiliated Issuer","OSP Hamilton Purchaser, LLC","OSP Hamilton Purchaser, LLC",First Lien,,,,1679000.0,1730000.0,1714000.0,,97.96,4.75,8.41,,,False,,,USD,1679000.0,Banks,Unaffiliated,One stop,,2029-12,,,,,0.1,8.41,4.75,,Financials,Banks,First Lien,,"OSP Hamilton Purchaser, LLC"
GBDC,0001476765,0001476765-26-000048,10-Q,2026-06-30,2026-08-03,"OSP Hamilton Purchaser, LLC | One stop 2 | Non-Affiliated Issuer","OSP Hamilton Purchaser, LLC","OSP Hamilton Purchaser, LLC",First Lien,,,,2819000.0,2876000.0,2887000.0,,97.64,4.25,7.92,,,False,,,USD,2819000.0,Banks,Unaffiliated,One stop,,2029-12,,,,,,7.92,4.25,,Financials,Banks,First Lien,,"OSP Hamilton Purchaser, LLC"
